Sample,Sample_ID2,Date,Lat,Long,Dog_Name,Grid_ID,Track_ID,Individual,Loop _distance_mi
Pan19-S45,04.11.19.16,4-Nov-19,-51.07345,-72.733217,Zoey,F2,NA,Poor DNA,1.38
Pan19-S59,04.11.19.30,4-Nov-19,-51.071917,-72.722833,Zoey,F2,NA,Poor DNA,1.38
Pan19-S70,04.11.19.11,4-Nov-19,-50.977363,-72.664981,Tigre,G5,04.11.19.01,Poor DNA,2.27
Pan19-S75,04.11.19.16,4-Nov-19,-50.979809,-72.673868,Tigre,G5,04.11.19.01,Puma-F1,2.27
Pan19-S95,04.11.19.36,4-Nov-19,-51.078462,-72.730952,Tigre,F2,04.11.19.02,Poor DNA,1.38
Pan19-S99,04.11.19.40,4-Nov-19,-51.073784,-72.730517,Tigre,F2,04.11.19.02,Poor DNA,1.38
Pan19-S105,05.11.19.02,5-Nov-19,-51.088784,-72.789122,Tigre,E2,05.11.19,Puma-F2,2.19
Pan19-S129,05.11.19.11,5-Nov-19,-51.087482,-72.829613,Zoey,D2,NA,Poor DNA,2.76
Pan19-S131,05.11.19.13,5-Nov-19,-51.080803,-72.827466,Zoey,D2,NA,Puma-F2,2.76
Pan19-S133,05.11.19.15,5-Nov-19,-51.080395,-72.821073,Zoey,D2,NA,Poor DNA,2.76
Pan19-S135,05.11.19.17,5-Nov-19,-51.084562,-72.808563,Zoey,D2,NA,Puma-F3,2.76
Pan19-S137,07.11.19.02,7-Nov-19,-51.027775,-72.815449,Tigre,D4,07.11.19,Poor DNA,3.26
Pan19-S144,07.11.19.09,7-Nov-19,-51.024508,-72.817392,Tigre,D4,07.11.19,Poor DNA,3.26
Pan19-S145,07.11.19.10,7-Nov-19,-51.021698,-72.815307,Tigre,D4,07.11.19,Poor DNA,3.26
Pan19-S147,07.11.19.12,7-Nov-19,-51.020254,-72.818018,Tigre,D4,07.11.19,Poor DNA,3.26
Pan19-S157,07.11.19.22,7-Nov-19,-51.015154,-72.832522,Tigre,D4,07.11.19,Poor DNA,3.26
Pan19-S158,07.11.19.24,7-Nov-19,-51.016033,-72.834327,Tigre,D4,07.11.19,Poor DNA,3.26
Pan19-S167,07.11.19.03,7-Nov-19,-51.021717,-72.809836,Zoey,E4,NA,Poor DNA,5.49
Pan19-S169,07.11.19.05,7-Nov-19,-51.020858,-72.810623,Zoey,E4,NA,Poor DNA,5.49
Pan19-S172,07.11.19.08,7-Nov-19,-51.018401,-72.805582,Zoey,E4,NA,Poor DNA,5.49
Pan19-S175,07.11.19.11,7-Nov-19,-51.013782,-72.801527,Zoey,E4,NA,Poor DNA,5.49
Pan19-S176,07.11.19.12,7-Nov-19,-51.013544,-72.801156,Zoey,E4,NA,Poor DNA,5.49
Pan19-S177,07.11.19.13A,7-Nov-19,-51.013512,-72.80109,Zoey,E4,NA,Poor DNA,5.49
Pan19-S178,07.11.19.13B,7-Nov-19,-51.013512,-72.80109,Zoey,E4,NA,Poor DNA,5.49
Pan19-S179,07.11.19.14,7-Nov-19,-51.013615,-72.801307,Zoey,E4,NA,Poor DNA,5.49
Pan19-S182,07.11.19.17,7-Nov-19,-51.010553,-72.800662,Zoey,E4,NA,Poor DNA,5.49
Pan19-S198,07.11.19.34,7-Nov-19,-51.024468,-72.806542,Zoey,E4,NA,Poor DNA,5.49
Pan19-S208,08.11.19.04,8-Nov-19,-51.019989,-72.880078,Tigre,C4,08.11.19,Poor DNA,2.65
Pan19-S209,08.11.19.05,8-Nov-19,-51.020631,-72.880758,Tigre,C4,08.11.19,Puma-F4,2.65
Pan19-S211,08.11.19.07,8-Nov-19,-51.021808,-72.882872,Tigre,C4,08.11.19,Puma-F5,2.65
Pan19-S213,08.11.19.09,8-Nov-19,-51.028967,-72.885082,Tigre,C4,08.11.19,Poor DNA,2.65
Pan19-S223,08.11.19.56,8-Nov-19,-51.040663,-72.87849,Zoey,C3,NA,Puma-F6,4.84
Pan19-S224,08.11.19.58,8-Nov-19,-51.039247,-72.881467,Zoey,C3,NA,Poor DNA,4.84
Pan19-S225,08.11.19.59,8-Nov-19,-51.038193,-72.882571,Zoey,C3,NA,Poor DNA,4.84
Pan19-S226,08.11.19.60,8-Nov-19,-51.038113,-72.882593,Zoey,C3,NA,Poor DNA,4.84
Pan19-S229,08.11.19.69,8-Nov-19,-51.034079,-72.89792,Zoey,C3,NA,Poor DNA,4.84
Pan19-S230,08.11.19.70,8-Nov-19,-51.033722,-72.896146,Zoey,C3,NA,Puma-M7,4.84
Pan19-S231,08.11.19.71,8-Nov-19,-51.032678,-72.892027,Zoey,C3,NA,Poor DNA,4.84
Pan19-S233,09.11.19.73,9-Nov-19,-51.140717,-73.06395,Zoey,Loop N.24,NA,Puma-M8,4.7
Pan19-S234,09.11.19.75,9-Nov-19,-51.14315,-73.060067,Zoey,Loop N.24,NA,Puma-M9,4.7
Pan19-S236,09.11.19.81B,9-Nov-19,-51.1237,-73.070367,Zoey,Loop N.24,NA,Puma-F10,4.7
Pan19-S237,09.11.19.83,9-Nov-19,-51.131667,-73.064117,Zoey,Loop N.24,NA,Poor DNA,4.7
Pan19-S238,09.11.19.96,9-Nov-19,-51.121667,-73.07385,Zoey,Loop N.24,NA,Puma-M11,4.7
Pan19-S240,09.11.19.100,9-Nov-19,-51.1257,-73.076933,Zoey,Loop N.24,NA,Poor DNA,4.7
Pan19-S265,12.11.19.01,12-Nov-19,-50.927929,-72.755831,Tigre,F7,12.11.19,Poor DNA,5.83
Pan19-S272,12.11.19.08,12-Nov-19,-50.906678,-72.740911,Tigre,F7,12.11.19,Poor DNA,5.83
Pan19-S273,12.11.19.09,12-Nov-19,-50.917313,-72.744614,Tigre,F7,12.11.19,Puma-F12,5.83
Pan19-S280,12.11.19.08,12-Nov-19,-50.92029,-72.783187,Zoey,E7,NA,Poor DNA,5.65
Pan19-S281,12.11.19.09,12-Nov-19,-50.918406,-72.784827,Zoey,E7,NA,Puma-F13,5.65
Pan19-S282,12.11.19.10,12-Nov-19,-50.917763,-72.783757,Zoey,E7,NA,Poor DNA,5.65
Pan19-S284,12.11.19.16,12-Nov-19,-50.923324,-72.787754,Zoey,E7,NA,Puma-F12,5.65
Pan19-S288,12.11.19.21,12-Nov-19,-50.927605,-72.79596,Zoey,E7,NA,Poor DNA,5.65
Pan19-S289,12.11.19.22,12-Nov-19,-50.929265,-72.792453,Zoey,E7,NA,Poor DNA,5.65
Pan19-S292,13.11.19.28,13-Nov-19,-50.942935,-72.77032,Zoey,E6,NA,Poor DNA,5.64
Pan19-S295,13.11.19.32,13-Nov-19,-50.946005,-72.785912,Zoey,E6,NA,Poor DNA,5.64
Pan19-S296,13.11.19.34,13-Nov-19,-50.936632,-72.76932,Zoey,E6,NA,Poor DNA,5.64
Pan19-S299,13.11.19.03,13-Nov-19,-50.945047,-72.742448,Tigre,F6,13.11.19,Puma-M14,3.55
Pan19-S307,15.11.19.01,15-Nov-19,-51.06654,-72.997067,Tigre,Loop N.8,15.11.19,Poor DNA,2.7
Pan19-S308,15.11.19.02,15-Nov-19,-51.065732,-72.994515,Tigre,Loop N.8,15.11.19,Poor DNA,2.7
Pan19-S311,15.11.19.05,15-Nov-19,-51.064381,-72.992847,Tigre,Loop N.8,15.11.19,Poor DNA,2.7
Pan19-S313,15.11.19.07,15-Nov-19,-51.058967,-72.979642,Tigre,Loop N.8,15.11.19,Poor DNA,2.7
Pan19-S315,15.11.19.03,15-Nov-19,-51.063857,-73.000665,Zoey,Loop N.7,NA,Puma-M7,4
Pan19-S320,15.11.19.08,15-Nov-19,-51.048268,-73.003256,Zoey,Loop N.7,NA,Poor DNA,4
Pan19-S326,16.11.19.01,16-Nov-19,-51.083963,-72.967984,Tigre,Loop N.6,16.11.19,Poor DNA,2.16
Pan19-S331,16.11.19.06,16-Nov-19,-51.086467,-72.974317,Tigre,Loop N.6,16.11.19,Puma-M15,2.16
Pan19-S332,16.11.19.07,16-Nov-19,-51.228589,-72.995556,Tigre,Loop N.3,16.11.19,Poor DNA,3.24
Pan19-S334,16.11.19.17,16-Nov-19,-51.209406,-72.965754,Zoey,Loop N.3,NA,Puma-F16,3.69
Pan19-S335,16.11.19.23,16-Nov-19,-51.201698,-72.977923,Zoey,Loop N.3,NA,Poor DNA,3.69
Pan19-S338,16.11.19.28,16-Nov-19,-51.212536,-72.976088,Zoey,Loop N.3,NA,Puma-M17,3.69
Pan19-S340,18.11.19.02,18-Nov-19,-51.170944,-72.975735,Tigre,Loop N.2,18.11.19,Poor DNA,5.35
Pan19-S342,18.11.19.04,18-Nov-19,-51.162162,-72.978128,Tigre,Loop N.2,18.11.19,Poor DNA,5.35
Pan19-S343,18.11.19.05,18-Nov-19,-51.158526,-72.978201,Tigre,Loop N.2,18.11.19,Poor DNA,5.35
Pan19-S344,18.11.19.06,18-Nov-19,-51.157834,-72.978551,Tigre,Loop N.2,18.11.19,Puma-F18,5.35
Pan19-S346,18.11.19.08,18-Nov-19,-51.155422,-72.982527,Tigre,Loop N.2,18.11.19,Poor DNA,5.35
Pan19-S347,18.11.19.09,18-Nov-19,-51.150736,-72.980608,Tigre,Loop N.2,18.11.19,Puma-F19,5.35
Pan19-S349,18.11.19.11,18-Nov-19,-51.162184,-72.988646,Tigre,Loop N.2,18.11.19,Poor DNA,5.35
Pan19-S350,18.11.19.12,18-Nov-19,-51.169615,-72.977582,Tigre,Loop N.2,18.11.19,Poor DNA,5.35
Pan19-S351,18.11.19.13,18-Nov-19,-51.169902,-72.977207,Tigre,Loop N.2,18.11.19,Poor DNA,5.35
Pan19-S352,18.11.19.04,18-Nov-19,-51.181247,-72.964253,Zoey,Loop N.4,NA,Poor DNA,4.1
Pan19-S353,18.11.19.09,18-Nov-19,-51.183886,-72.97268,Zoey,Loop N.4,NA,Poor DNA,4.1
Pan19-S355,18.11.19.12,18-Nov-19,-51.178485,-72.97584,Zoey,Loop N.4,NA,Poor DNA,4.1
Pan19-S356,18.11.19.13,18-Nov-19,-51.178049,-72.97431,Zoey,Loop N.4,NA,Poor DNA,4.1
Pan19-S361,20.11.19.05,20-Nov-19,-51.150966,-72.935619,Tigre,Loop N.1,20.11.19,Poor DNA,5.66
Pan19-S372,20.11.19.28,20-Nov-19,-51.128869,-72.958552,Zoey,Loop N.5,NA,Poor DNA,4.52
Pan19-S373,20.11.19.29,20-Nov-19,-51.129287,-72.958356,Zoey,Loop N.5,NA,Poor DNA,4.52
Pan19-S375,20.11.19.35,20-Nov-19,-51.135944,-72.957805,Zoey,Loop N.5,NA,Puma-F20,4.52
Pan19-S381,23.11.19.02,23-Nov-19,-50.989549,-72.809547,Zoey,Loop N.20,NA,Poor DNA,4.49
Pan19-S383,23.11.19.01,23-Nov-19,-50.970285,-72.847574,Tigre,Loop N.19,23.11.19,Poor DNA,3.99
Pan19-S385,23.11.19.03,23-Nov-19,-50.982716,-72.851117,Tigre,Loop N.19,23.11.19,Poor DNA,3.99
Pan19-S388,18.11.19.06,18-Nov-19,-51.19201,-72.970335,Zoey,Loop N.4,NA,Poor DNA,4.1
